Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1370.0,2542.0,276.0,0.0,313.0,1707.0,4357.0,0.0,0
1370.0,2542.0,276.0,0.0,313.0,1707.0,4357.0,0.0,1
1221.0,2484.0,265.0,0.0,278.0,4564.0,4554.0,0.0,2
1058.0,2452.0,259.0,0.0,226.0,4352.0,4608.0,0.0,3
0.0,3320.0,248.0,0.0,187.0,4103.0,4722.0,0.0,4
0.0,3250.0,125.0,122.0,151.0,3892.0,4784.0,2.0,5
48.0,3210.0,0.0,263.0,127.0,3588.0,4773.0,5.0,6
168.0,3170.0,0.0,263.0,111.0,3287.0,4750.0,5.0,7
283.0,3121.0,0.0,263.0,96.0,3008.0,4739.0,14.0,8
579.0,3093.0,0.0,270.0,77.0,5664.0,4666.0,10.0,9
682.0,3128.0,0.0,254.0,61.0,5154.0,4513.0,14.0,10
858.0,2118.0,1055.0,252.0,53.0,4690.0,4410.0,13.0,11
810.0,422.0,1897.0,1069.0,43.0,4178.0,4248.0,15.0,12
880.0,587.0,0.0,1991.0,286.0,3639.0,4039.0,42.0,13
1128.0,782.0,0.0,1726.0,216.0,3204.0,3855.0,58.0,14
1128.0,944.0,0.0,1705.0,156.0,2723.0,3684.0,83.0,15
1128.0,1156.0,0.0,1611.0,119.0,5099.0,3509.0,83.0,16
1129.0,1478.0,24.0,1539.0,106.0,4599.0,3236.0,88.0,17
1128.0,1596.0,65.0,1463.0,93.0,4011.0,3022.0,102.0,18
1128.0,1740.0,80.0,1405.0,103.0,3502.0,2817.0,102.0,19
1128.0,1830.0,205.0,1329.0,97.0,3055.0,2629.0,112.0,20
1128.0,1862.0,151.0,1356.0,129.0,2626.0,2440.0,110.0,21
1110.0,1902.0,184.0,1277.0,135.0,2271.0,2242.0,105.0,22
1109.0,2047.0,161.0,1228.0,134.0,4728.0,2037.0,125.0,23
1114.0,2031.0,194.0,1187.0,160.0,4280.0,1922.0,124.0,24
1128.0,1948.0,311.0,1160.0,164.0,3851.0,1751.0,131.0,25
1128.0,2047.0,182.0,1208.0,199.0,3321.0,1621.0,129.0,26
1128.0,2004.0,227.0,1178.0,190.0,2907.0,1540.0,135.0,27
1128.0,1955.0,287.0,1181.0,208.0,2554.0,1373.0,131.0,28
1128.0,2043.0,189.0,1206.0,233.0,2174.0,1227.0,157.0,29
1128.0,2046.0,221.0,1212.0,223.0,4680.0,1101.0,163.0,30
1128.0,1996.0,294.0,1176.0,230.0,4181.0,1012.0,177.0,31
1129.0,2061.0,190.0,1227.0,259.0,3641.0,956.0,192.0,32
1128.0,2068.0,214.0,1175.0,270.0,3179.0,899.0,194.0,33
1128.0,2010.0,276.0,1190.0,264.0,2732.0,856.0,197.0,34
1123.0,2051.0,199.0,1221.0,270.0,2422.0,785.0,213.0,35
1127.0,2059.0,238.0,1226.0,253.0,2050.0,726.0,226.0,36
1128.0,2034.0,277.0,1212.0,250.0,4539.0,696.0,231.0,37
1128.0,2048.0,211.0,1235.0,267.0,4194.0,682.0,241.0,38
1128.0,2060.0,242.0,1227.0,278.0,3743.0,663.0,235.0,39
1128.0,2058.0,251.0,1212.0,262.0,3270.0,642.0,246.0,40
1128.0,2062.0,227.0,1240.0,248.0,2868.0,603.0,266.0,41
1128.0,2046.0,247.0,1253.0,249.0,2421.0,564.0,267.0,42
1128.0,2050.0,233.0,1260.0,234.0,2079.0,510.0,281.0,43
1128.0,2043.0,241.0,1245.0,251.0,4484.0,503.0,270.0,44
1128.0,2045.0,255.0,1287.0,271.0,4059.0,479.0,257.0,45
1128.0,2031.0,233.0,1289.0,267.0,3577.0,450.0,272.0,46
1127.0,2007.0,249.0,1294.0,242.0,3185.0,456.0,303.0,47
1128.0,2020.0,250.0,1296.0,263.0,2706.0,426.0,300.0,48
1127.0,2039.0,211.0,1283.0,288.0,2378.0,427.0,308.0,49
1128.0,2038.0,231.0,1299.0,285.0,2049.0,427.0,307.0,50
1128.0,2062.0,232.0,1315.0,251.0,4574.0,431.0,332.0,51
1128.0,2050.0,241.0,1312.0,253.0,4122.0,446.0,345.0,52
1128.0,2018.0,244.0,1319.0,253.0,3682.0,441.0,321.0,53
1128.0,2032.0,226.0,1312.0,283.0,3269.0,428.0,318.0,54
1128.0,2049.0,222.0,1299.0,270.0,2843.0,411.0,318.0,55
1120.0,2023.0,258.0,1306.0,274.0,2465.0,407.0,320.0,56
1123.0,2021.0,231.0,1322.0,273.0,2157.0,408.0,324.0,57
1121.0,2024.0,222.0,1306.0,283.0,4596.0,405.0,304.0,58
1128.0,2010.0,247.0,1305.0,278.0,4101.0,417.0,305.0,59
1128.0,2047.0,222.0,1315.0,278.0,3634.0,434.0,311.0,60
