Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
86.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2
61.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3
37.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,4
9.0,61.0,8.0,0.0,0.0,0.0,0.0,0.0,5
0.0,57.0,13.0,1.0,0.0,0.0,0.0,0.0,6
0.0,45.0,17.0,3.0,0.0,0.0,0.0,0.0,7
0.0,34.0,21.0,2.0,3.0,0.0,0.0,1.0,8
0.0,26.0,14.0,7.0,4.0,0.0,0.0,3.0,9
0.0,14.0,18.0,13.0,7.0,0.0,0.0,3.0,10
0.0,9.0,14.0,23.0,1.0,0.0,0.0,7.0,11
0.0,3.0,13.0,18.0,5.0,0.0,0.0,7.0,12
0.0,1.0,9.0,26.0,11.0,0.0,0.0,8.0,13
19.0,0.0,6.0,21.0,10.0,0.0,0.0,11.0,14
23.0,1.0,0.0,32.0,5.0,0.0,0.0,15.0,15
64.0,4.0,0.0,26.0,8.0,0.0,0.0,14.0,16
116.0,13.0,1.0,13.0,5.0,0.0,0.0,15.0,17
159.0,18.0,1.0,20.0,7.0,0.0,0.0,17.0,18
130.0,41.0,3.0,21.0,4.0,0.0,0.0,15.0,19
182.0,67.0,7.0,26.0,3.0,0.0,0.0,11.0,20
112.0,81.0,14.0,23.0,1.0,0.0,0.0,21.0,21
221.0,97.0,20.0,26.0,2.0,0.0,0.0,14.0,22
162.0,109.0,29.0,32.0,5.0,0.0,0.0,21.0,23
185.0,132.0,25.0,45.0,6.0,0.0,0.0,14.0,24
173.0,143.0,28.0,45.0,6.0,0.0,0.0,24.0,25
122.0,152.0,42.0,48.0,13.0,0.0,0.0,23.0,26
127.0,155.0,56.0,51.0,17.0,0.0,0.0,38.0,27
199.0,147.0,59.0,72.0,23.0,0.0,0.0,29.0,28
171.0,139.0,64.0,83.0,17.0,0.0,0.0,31.0,29
188.0,137.0,54.0,83.0,15.0,0.0,0.0,39.0,30
259.0,140.0,63.0,95.0,26.0,0.0,0.0,39.0,31
178.0,157.0,46.0,112.0,32.0,0.0,0.0,70.0,32
285.0,156.0,58.0,121.0,28.0,0.0,0.0,61.0,33
327.0,174.0,68.0,135.0,45.0,0.0,0.0,77.0,34
457.0,191.0,63.0,136.0,33.0,0.0,0.0,79.0,35
545.0,229.0,69.0,173.0,51.0,0.0,0.0,94.0,36
662.0,281.0,73.0,175.0,49.0,0.0,0.0,76.0,37
655.0,336.0,71.0,190.0,48.0,0.0,0.0,105.0,38
660.0,422.0,70.0,207.0,40.0,0.0,0.0,123.0,39
656.0,470.0,119.0,228.0,75.0,0.0,0.0,149.0,40
865.0,524.0,134.0,258.0,84.0,0.0,0.0,141.0,41
988.0,584.0,175.0,287.0,85.0,0.0,0.0,184.0,42
1122.0,610.0,206.0,315.0,84.0,0.0,0.0,179.0,43
974.0,706.0,200.0,343.0,93.0,0.0,0.0,211.0,44
1188.0,783.0,209.0,408.0,124.0,0.0,0.0,245.0,45
1466.0,831.0,255.0,439.0,134.0,0.0,0.0,260.0,46
1607.0,901.0,277.0,492.0,129.0,0.0,0.0,281.0,47
