Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3
6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5
0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6
0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,7
0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,8
0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,9
0.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,10
0.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,11
0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,12
0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,13
0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,14
0.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,15
0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,16
53.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,17
74.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,18
93.0,7.0,0.0,5.0,0.0,0.0,2.0,3.0,19
50.0,19.0,0.0,7.0,0.0,0.0,2.0,2.0,20
30.0,32.0,4.0,9.0,0.0,0.0,2.0,5.0,21
107.0,40.0,7.0,7.0,3.0,0.0,2.0,8.0,22
100.0,46.0,8.0,9.0,4.0,0.0,1.0,8.0,23
111.0,53.0,10.0,9.0,6.0,0.0,1.0,13.0,24
118.0,61.0,14.0,12.0,9.0,0.0,2.0,16.0,25
222.0,76.0,20.0,11.0,14.0,0.0,0.0,19.0,26
159.0,93.0,19.0,20.0,14.0,0.0,0.0,21.0,27
146.0,101.0,29.0,29.0,21.0,0.0,1.0,18.0,28
329.0,116.0,36.0,30.0,22.0,0.0,2.0,22.0,29
459.0,149.0,35.0,43.0,26.0,0.0,1.0,28.0,30
407.0,178.0,45.0,50.0,21.0,0.0,0.0,38.0,31
346.0,218.0,50.0,68.0,31.0,0.0,0.0,46.0,32
368.0,276.0,59.0,78.0,37.0,0.0,1.0,45.0,33
459.0,310.0,72.0,87.0,51.0,0.0,0.0,44.0,34
577.0,330.0,89.0,98.0,50.0,0.0,0.0,67.0,35
826.0,351.0,109.0,120.0,54.0,0.0,0.0,82.0,36
852.0,392.0,119.0,142.0,75.0,0.0,0.0,105.0,37
917.0,464.0,135.0,172.0,87.0,0.0,0.0,107.0,38
1147.0,528.0,151.0,208.0,101.0,0.0,0.0,145.0,39
1420.0,654.0,145.0,261.0,105.0,0.0,0.0,172.0,40
1602.0,731.0,171.0,317.0,123.0,0.0,0.0,198.0,41
2204.0,918.0,190.0,336.0,152.0,0.0,0.0,209.0,42
2800.0,1102.0,234.0,387.0,148.0,0.0,0.0,253.0,43
3323.0,1340.0,318.0,465.0,154.0,0.0,0.0,295.0,44
4430.0,1668.0,373.0,560.0,183.0,0.0,0.0,351.0,45
4662.0,2070.0,460.0,601.0,204.0,0.0,0.0,347.0,46
5133.0,2565.0,600.0,719.0,275.0,0.0,0.0,422.0,47
5134.0,3139.0,727.0,815.0,326.0,0.0,0.0,506.0,48
6117.0,3607.0,870.0,972.0,444.0,0.0,0.0,588.0,49
7701.0,4061.0,1009.0,1164.0,524.0,0.0,0.0,703.0,50
9074.0,4589.0,1221.0,1336.0,628.0,0.0,0.0,820.0,51
9761.0,5242.0,1410.0,1647.0,751.0,0.0,0.0,958.0,52
9791.0,5994.0,1643.0,1973.0,850.0,0.0,0.0,1190.0,53
9999.0,6810.0,1879.0,2344.0,1019.0,0.0,0.0,1387.0,54
9929.0,7542.0,2175.0,2747.0,1172.0,0.0,0.0,1697.0,55
9980.0,8035.0,2502.0,3231.0,1306.0,0.0,0.0,2018.0,56
9981.0,8463.0,2653.0,3801.0,1547.0,0.0,0.0,2383.0,57
9993.0,8882.0,2920.0,4479.0,1858.0,0.0,0.0,2802.0,58
9999.0,8992.0,3110.0,5098.0,2150.0,0.0,0.0,3107.0,59
9978.0,9085.0,3427.0,5774.0,2334.0,0.0,0.0,3721.0,60
9994.0,9180.0,3554.0,6698.0,2682.0,0.0,0.0,4235.0,61
9999.0,9085.0,3668.0,7719.0,2899.0,0.0,0.0,4878.0,62
9999.0,9185.0,3604.0,8653.0,3123.0,0.0,0.0,5494.0,63
9997.0,9161.0,3649.0,9579.0,3341.0,0.0,0.0,6265.0,64
