Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
914.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2
660.0,315.0,1.0,0.0,0.0,0.0,0.0,0.0,3
389.0,519.0,20.0,0.0,0.0,0.0,0.0,0.0,4
127.0,667.0,67.0,7.0,5.0,0.0,1.0,1.0,5
0.0,664.0,121.0,24.0,15.0,0.0,1.0,5.0,6
0.0,530.0,184.0,53.0,43.0,0.0,1.0,9.0,7
0.0,404.0,217.0,115.0,85.0,0.0,1.0,26.0,8
0.0,269.0,247.0,159.0,133.0,0.0,1.0,53.0,9
17.0,162.0,235.0,253.0,153.0,0.0,0.0,96.0,10
23.0,77.0,180.0,286.0,187.0,0.0,1.0,144.0,11
203.0,34.0,127.0,364.0,187.0,0.0,1.0,217.0,12
463.0,24.0,76.0,421.0,205.0,0.0,1.0,243.0,13
752.0,51.0,33.0,448.0,173.0,0.0,1.0,280.0,14
1114.0,132.0,15.0,468.0,174.0,0.0,1.0,321.0,15
1674.0,262.0,22.0,458.0,139.0,0.0,1.0,345.0,16
1711.0,465.0,40.0,466.0,113.0,0.0,0.0,361.0,17
2312.0,746.0,77.0,447.0,94.0,0.0,1.0,392.0,18
2324.0,1014.0,115.0,468.0,83.0,0.0,1.0,419.0,19
2834.0,1323.0,210.0,473.0,83.0,0.0,0.0,423.0,20
2837.0,1642.0,312.0,516.0,93.0,0.0,1.0,425.0,21
3138.0,1949.0,405.0,585.0,116.0,122945.0,38.0,387.0,22
2989.0,2221.0,536.0,640.0,182.0,111250.0,72.0,395.0,23
3180.0,2476.0,594.0,769.0,253.0,101076.0,127.0,379.0,24
2852.0,2627.0,723.0,900.0,316.0,90140.0,189.0,369.0,25
3256.0,2703.0,875.0,1078.0,375.0,79791.0,280.0,329.0,26
2778.0,2711.0,990.0,1256.0,442.0,69679.0,376.0,328.0,27
2521.0,2754.0,1026.0,1430.0,589.0,60254.0,548.0,322.0,28
2463.0,2722.0,1102.0,1663.0,676.0,174987.0,684.0,302.0,29
2209.0,2685.0,1102.0,1868.0,753.0,155808.0,867.0,305.0,30
2195.0,2577.0,1081.0,2164.0,791.0,137721.0,1018.0,267.0,31
1867.0,2358.0,1094.0,2401.0,865.0,120944.0,1220.0,277.0,32
1717.0,2223.0,1041.0,2660.0,871.0,105357.0,1415.0,251.0,33
1341.0,2085.0,986.0,2883.0,900.0,90435.0,1573.0,247.0,34
1061.0,1950.0,906.0,3112.0,894.0,77581.0,1799.0,265.0,35
1096.0,1743.0,861.0,3221.0,896.0,188897.0,1966.0,245.0,36
794.0,1544.0,835.0,3485.0,878.0,166278.0,2128.0,215.0,37
660.0,1308.0,786.0,3537.0,848.0,145967.0,2266.0,231.0,38
740.0,1119.0,725.0,3636.0,824.0,127170.0,2401.0,221.0,39
705.0,970.0,591.0,3700.0,751.0,109664.0,2585.0,226.0,40
770.0,838.0,527.0,3782.0,692.0,94286.0,2683.0,215.0,41
838.0,727.0,449.0,3791.0,683.0,79517.0,2756.0,221.0,42
783.0,676.0,379.0,3773.0,662.0,189629.0,2752.0,223.0,43
774.0,670.0,349.0,3730.0,561.0,166767.0,2895.0,205.0,44
745.0,677.0,322.0,3704.0,517.0,146356.0,2938.0,195.0,45
611.0,706.0,295.0,3590.0,439.0,127483.0,2933.0,187.0,46
625.0,700.0,268.0,3575.0,419.0,110097.0,2935.0,171.0,47
661.0,664.0,259.0,3409.0,372.0,94248.0,2988.0,179.0,48
830.0,653.0,273.0,3343.0,335.0,80195.0,2871.0,159.0,49
692.0,637.0,284.0,3200.0,324.0,190549.0,2837.0,149.0,50
703.0,637.0,273.0,3175.0,284.0,167782.0,2857.0,129.0,51
744.0,648.0,262.0,3037.0,318.0,147336.0,2685.0,149.0,52
739.0,653.0,255.0,2908.0,291.0,128430.0,2597.0,125.0,53
738.0,663.0,235.0,2802.0,281.0,110665.0,2573.0,124.0,54
594.0,667.0,247.0,2713.0,263.0,94760.0,2518.0,112.0,55
539.0,695.0,244.0,2647.0,269.0,80562.0,2454.0,107.0,56
622.0,685.0,244.0,2541.0,276.0,190556.0,2344.0,103.0,57
578.0,625.0,279.0,2469.0,263.0,167046.0,2238.0,97.0,58
615.0,584.0,281.0,2308.0,293.0,147001.0,2208.0,85.0,59
505.0,542.0,270.0,2288.0,286.0,127990.0,2155.0,94.0,60
357.0,565.0,249.0,2247.0,281.0,110530.0,2055.0,81.0,61
316.0,552.0,225.0,2182.0,291.0,94229.0,2060.0,89.0,62
465.0,502.0,217.0,2082.0,286.0,80165.0,1943.0,74.0,63
415.0,441.0,239.0,2047.0,248.0,190966.0,1936.0,69.0,64
399.0,405.0,215.0,1938.0,234.0,167728.0,1846.0,62.0,65
311.0,396.0,190.0,1882.0,229.0,146939.0,1808.0,60.0,66
258.0,393.0,175.0,1821.0,198.0,128202.0,1774.0,64.0,67
288.0,370.0,178.0,1728.0,174.0,110682.0,1678.0,50.0,68
151.0,334.0,165.0,1669.0,172.0,94186.0,1669.0,50.0,69
212.0,314.0,140.0,1659.0,176.0,80161.0,1614.0,45.0,70
133.0,278.0,134.0,1533.0,150.0,190821.0,1581.0,42.0,71
151.0,251.0,118.0,1414.0,141.0,167906.0,1489.0,40.0,72
119.0,209.0,123.0,1392.0,146.0,147345.0,1406.0,49.0,73
147.0,177.0,121.0,1286.0,132.0,127978.0,1330.0,42.0,74
122.0,167.0,94.0,1253.0,125.0,110520.0,1259.0,26.0,75
102.0,146.0,81.0,1210.0,116.0,94281.0,1219.0,32.0,76
107.0,127.0,73.0,1185.0,91.0,79710.0,1198.0,31.0,77
77.0,132.0,61.0,1118.0,94.0,190788.0,1107.0,21.0,78
44.0,117.0,65.0,1043.0,77.0,167510.0,1047.0,21.0,79
81.0,111.0,52.0,996.0,82.0,146958.0,996.0,21.0,80
49.0,84.0,51.0,925.0,75.0,128304.0,951.0,20.0,81
34.0,73.0,40.0,868.0,60.0,110369.0,899.0,26.0,82
67.0,69.0,35.0,856.0,58.0,94646.0,855.0,27.0,83
49.0,67.0,33.0,805.0,49.0,79800.0,821.0,15.0,84
57.0,60.0,34.0,770.0,59.0,190413.0,795.0,18.0,85
41.0,60.0,23.0,730.0,40.0,167826.0,764.0,13.0,86
97.0,52.0,30.0,649.0,51.0,147041.0,699.0,10.0,87
41.0,49.0,34.0,637.0,42.0,128266.0,651.0,11.0,88
79.0,59.0,28.0,600.0,55.0,110897.0,624.0,8.0,89
39.0,64.0,17.0,555.0,42.0,94632.0,589.0,10.0,90
61.0,60.0,24.0,538.0,41.0,80040.0,551.0,8.0,91
47.0,64.0,24.0,509.0,42.0,189827.0,520.0,6.0,92
26.0,61.0,23.0,456.0,45.0,167476.0,486.0,6.0,93
31.0,61.0,24.0,410.0,38.0,146433.0,440.0,6.0,94
35.0,49.0,25.0,401.0,31.0,127680.0,432.0,5.0,95
23.0,37.0,24.0,369.0,28.0,109998.0,390.0,5.0,96
12.0,35.0,25.0,365.0,30.0,94181.0,365.0,2.0,97
6.0,29.0,20.0,331.0,29.0,79956.0,362.0,5.0,98
19.0,23.0,18.0,310.0,27.0,189852.0,339.0,4.0,99
10.0,17.0,15.0,283.0,27.0,167377.0,314.0,3.0,100
9.0,13.0,13.0,249.0,20.0,146973.0,303.0,2.0,101
6.0,15.0,8.0,234.0,20.0,127563.0,272.0,1.0,102
2.0,11.0,9.0,225.0,15.0,110511.0,264.0,1.0,103
0.0,11.0,6.0,185.0,18.0,93910.0,248.0,0.0,104
0.0,9.0,2.0,203.0,15.0,79994.0,221.0,0.0,105
0.0,4.0,6.0,185.0,14.0,190785.0,197.0,0.0,106
0.0,4.0,2.0,153.0,10.0,167574.0,184.0,1.0,107
0.0,2.0,3.0,160.0,8.0,147263.0,163.0,0.0,108
0.0,2.0,1.0,132.0,7.0,127504.0,169.0,1.0,109
0.0,0.0,2.0,115.0,4.0,110026.0,145.0,1.0,110
0.0,0.0,1.0,117.0,2.0,94163.0,123.0,0.0,111
0.0,0.0,0.0,102.0,1.0,79866.0,120.0,0.0,112
0.0,0.0,0.0,80.0,0.0,189842.0,112.0,1.0,113
0.0,0.0,0.0,67.0,1.0,167019.0,101.0,1.0,114
0.0,0.0,0.0,74.0,0.0,146248.0,88.0,1.0,115
0.0,0.0,0.0,57.0,0.0,127009.0,73.0,1.0,116
0.0,0.0,0.0,67.0,0.0,110148.0,68.0,1.0,117
0.0,0.0,0.0,52.0,0.0,93550.0,71.0,1.0,118
0.0,0.0,0.0,51.0,0.0,79500.0,59.0,1.0,119
0.0,0.0,0.0,44.0,0.0,190538.0,51.0,1.0,120
0.0,0.0,0.0,43.0,0.0,167808.0,45.0,0.0,121
0.0,0.0,0.0,34.0,0.0,146761.0,45.0,0.0,122
0.0,0.0,0.0,34.0,0.0,128245.0,35.0,0.0,123
0.0,0.0,0.0,21.0,0.0,110280.0,27.0,0.0,124
0.0,0.0,0.0,22.0,0.0,94078.0,27.0,0.0,125
0.0,0.0,0.0,21.0,0.0,79746.0,23.0,0.0,126
0.0,0.0,0.0,13.0,0.0,190402.0,19.0,0.0,127
0.0,0.0,0.0,14.0,0.0,167584.0,21.0,0.0,128
0.0,0.0,0.0,6.0,0.0,147328.0,21.0,0.0,129
0.0,0.0,0.0,14.0,0.0,127751.0,17.0,0.0,130
0.0,0.0,0.0,10.0,0.0,110429.0,14.0,0.0,131
0.0,0.0,0.0,4.0,0.0,94435.0,10.0,0.0,132
0.0,0.0,0.0,6.0,0.0,80184.0,7.0,0.0,133
0.0,0.0,0.0,9.0,0.0,189846.0,11.0,0.0,134
0.0,0.0,0.0,4.0,0.0,167148.0,9.0,0.0,135
0.0,0.0,0.0,7.0,0.0,147094.0,5.0,0.0,136
0.0,0.0,0.0,2.0,0.0,127772.0,5.0,0.0,137
0.0,0.0,0.0,3.0,0.0,110323.0,5.0,0.0,138
0.0,0.0,0.0,1.0,0.0,94295.0,5.0,0.0,139
0.0,0.0,0.0,3.0,0.0,80376.0,4.0,0.0,140
0.0,0.0,0.0,1.0,0.0,190694.0,2.0,0.0,141
0.0,0.0,0.0,1.0,0.0,168398.0,3.0,0.0,142
0.0,0.0,0.0,2.0,0.0,147243.0,4.0,0.0,143
0.0,0.0,0.0,1.0,0.0,128027.0,2.0,0.0,144
0.0,0.0,0.0,1.0,0.0,111021.0,3.0,0.0,145
0.0,0.0,0.0,1.0,0.0,95217.0,2.0,0.0,146
0.0,0.0,0.0,0.0,0.0,80054.0,1.0,0.0,147
0.0,0.0,0.0,1.0,0.0,190510.0,1.0,0.0,148
0.0,0.0,0.0,1.0,0.0,167713.0,1.0,0.0,149
0.0,0.0,0.0,1.0,0.0,147336.0,0.0,0.0,150
